,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
263,m43_2015,Adopt_a_Stream_2015,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2015"
264,r43_2015,Adopt_a_Stream_Length_2015,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2015"
265,m43_2013,Adopt_a_Stream_2013,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2013"
266,r43_2013,Adopt_a_Stream_Length_2013,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2013"
267,m43_2011,Adopt_a_Stream_2011,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2011"
268,r43_2011,Adopt_a_Stream_Length_2011,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2011"
269,m71_2017,Adopt_a_Street_2017,Percentage of city streets adopted ,Number of miles of city-maintained streets adopted for litter clean up divided by the total mileage of city-maintained streets. Street mileage does not include private streets or state maintained roads. ,"City of Charlotte Neighborhood and Business Services,  July 2016-June 2017"
270,r71_2017,Adopt_a_Street_Length_2017,Length of city street adopted (Miles),Number of miles of city-maintained streets adopted for litter clean up. Street mileage does not include private streets or state maintained roads.,"City of Charlotte Neighborhood and Business Services, July 2016-June 2017"
271,m10_2017,Commuters_Driving_Alone_2017,Percentage of workers that drive to work alone,"Number of workers 16 years and older who report that they commute to work by driving alone, divided by the total number of workers 16 years and older who report that they commute to work.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
272,m10_moe_2017,Commuters_Driving_Alone_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
273,Health,,,,
274,m28_2018,Low_Cost_Healthcare_Proximity_2018,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2018"
275,r28_2018,Low_Cost_Healthcare_Proximate_Units_2018,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2018"
276,m28_2017,Low_Cost_Healthcare_Proximity_2017,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2017"
277,r28_2017,Low_Cost_Healthcare_Proximate_Units_2017,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2017"
278,m28_2016,Low_Cost_Healthcare_Proximity_2016,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2016"
279,r28_2016,Low_Cost_Healthcare_Proximate_Units_2016,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2016"
280,m45_2018,Grocery_Proximity_2018,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2018; Mecklenburg County Tax Parcels, 2018"
281,r45_2018,Grocery_Proximate_Units_2018,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2018; Mecklenburg County Tax Parcels, 2018"
282,m45_2017,Grocery_Proximity_2017,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2017; Mecklenburg County Tax Parcels, 2017"
283,r45_2017,Grocery_Proximate_Units_2017,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2017; Mecklenburg County Tax Parcels, 2017"
284,m45_2016,Grocery_Proximity_2016,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2016; Mecklenburg County Tax Parcels, 2016"
285,r45_2016,Grocery_Proximate_Units_2016,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2016; Mecklenburg County Tax Parcels, 2016"
286,m45_2015,Grocery_Proximity_2015,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2015; Mecklenburg County Tax Parcels, 2015"
287,r45_2015,Grocery_Proximate_Units_2015,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2015; Mecklenburg County Tax Parcels, 2015"
288,m45_2014,Grocery_Proximity_2014,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2014; Mecklenburg County Tax Parcels, 2013"
289,r45_2014,Grocery_Proximate_Units_2014,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2014; Mecklenburg County Tax Parcels, 2013"
290,m45_2011,Grocery_Proximity_2011,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2011; Mecklenburg County Tax Parcels, 2011"
291,r45_2011,Grocery_Proximate_Units_2011,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2011; Mecklenburg County Tax Parcels, 2011"
292,m46_2018,Pharmacy_Proximity_2018,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2018; Mecklenburg County Tax Parcels, 2018"
293,r46_2018,Pharmacy_Proximate_Units_2018,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2018; Mecklenburg County Tax Parcels, 2018"
294,m46_2017,Pharmacy_Proximity_2017,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2017; Mecklenburg County Tax Parcels, 2017"
295,r46_2017,Pharmacy_Proximate_Units_2017,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2017; Mecklenburg County Tax Parcels, 2017"
296,m46_2016,Pharmacy_Proximity_2016,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2016; Mecklenburg County Tax Parcels, 2016"
297,r46_2016,Pharmacy_Proximate_Units_2016,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2016; Mecklenburg County Tax Parcels, 2016"
298,m46_2015,Pharmacy_Proximity_2015,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2015; Mecklenburg County Tax Parcels, 2015"
299,r46_2015,Pharmacy_Proximate_Units_2015,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2015; Mecklenburg County Tax Parcels, 2015"
300,m46_2013,Pharmacy_Proximity_2013,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2013; Mecklenburg County Tax Parcels, 2013"
301,r46_2013,Pharmacy_Proximate_Units_2013,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2013; Mecklenburg County Tax Parcels, 2013"
302,m46_2011,Pharmacy_Proximity_2011,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2011; Mecklenburg County Tax Parcels, 2011"
303,r46_2011,Pharmacy_Proximate_Units_2011,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2011; Mecklenburg County Tax Parcels, 2011"
304,m74_2018,Park_Proximity_2018,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2018; Mecklenburg County Tax Parcels, 2018"
305,r74_2018,Park_Proximate_Units_2018,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2018; Mecklenburg County Tax Parcels, 2018"
306,m74_2017,Park_Proximity_2017,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2017; Mecklenburg County Tax Parcels, 2017"
307,r74_2017,Park_Proximate_Units_2017,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2017; Mecklenburg County Tax Parcels, 2017"
308,m74_2016,Park_Proximity_2016,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2016; Mecklenburg County Tax Parcels, 2016"
309,r74_2016,Park_Proximate_Units_2016,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2016; Mecklenburg County Tax Parcels, 2016"
310,m74_2015,Park_Proximity_2015,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2015; Mecklenburg County Tax Parcels, 2015"
311,r74_2015,Park_Proximate_Units_2015,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2015; Mecklenburg County Tax Parcels, 2015"
312,m74_2014,Park_Proximity_2014,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2014; Mecklenburg County Tax Parcels, 2013"
313,r74_2014,Park_Proximate_Units_2014,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2014; Mecklenburg County Tax Parcels, 2013"
314,m54_2016,Births_to_Adolescents_2016,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016"
315,m54_2014,Births_to_Adolescents_2014,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014"
316,m54_2012,Births_to_Adolescents_2012,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012"
317,m54_2010,Births_to_Adolescents_2010,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2009 and 2010"
318,m55_2016,Low_Birthweight_2016,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016"
319,m55_2014,Low_Birthweight_2014,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014"
320,m55_2012,Low_Birthweight_2012,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012"
321,m56_2016,Prenatal_Care_2016,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016"
322,m56_2014,Prenatal_Care_2014,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014"
323,m56_2012,Prenatal_Care_2012,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012"
324,m57_2016,Age_of_Death_2016,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016"
325,m57_2014,Age_of_Death_2014,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014"
326,m57_2012,Age_of_Death_2012,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012"
327,m57_2010,Age_of_Death_2010,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2009 and 2010"
328,m81_2017,Public_Health_Insurance _2017,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2017; Population Estimate, 2017"
329,m81_2015,Public_Health_Insurance _2015,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2015; Population Estimate, 2015"
330,m81_2014,Public_Health_Insurance _2014,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2014; Population Estimate, 2013"
331,Housing,,,,
332,m5_2018,Housing_Density_2018,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2018"
333,r5_2018,Housing_Units_2018,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2018"
334,m5_2017,Housing_Density_2017,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2017"
335,r5_2017,Housing_Units_2017,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2017"
336,m5_2016,Housing_Density_2016,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2016"
337,r5_2016,Housing_Units_2016,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2016"
338,m5_2015,Housing_Density_2015,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2015"
339,r5_2015,Housing_Units_2015,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2015"
340,m5_2013,Housing_Density_2013,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2013"
341,r5_2013,Housing_Units_2013,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2013"
342,m5_2011,Housing_Density_2011,Housing Units per Acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2011"
343,r5_2011,Housing_Units_2011,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2011"
344,m30_2018,Single_Family_Housing_2018,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2018"
345,r30_2018,Single_Family_Units_2018,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2018"
346,m30_2017,Single_Family_Housing_2017,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2017"
347,r30_2017,Single_Family_Units_2017,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2017"
348,m30_2016,Single_Family_Housing_2016,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2016"
349,r30_2016,Single_Family_Units_2016,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2016"
350,m30_2015,Single_Family_Housing_2015,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2015"
351,r30_2015,Single_Family_Units_2015,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2015"
352,m30_2013,Single_Family_Housing_2013,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2013"
353,r30_2013,Single_Family_Units_2013,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2013"
354,m30_2011,Single_Family_Housing_2011,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2011"
355,r30_2011,Single_Family_Units_2011,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2011"
356,m6_2018,Housing_Size_2018,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2018"
357,m6_2017,Housing_Size_2017,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2017"
358,m6_2016,Housing_Size_2016,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2016"
359,m6_2015,Housing_Size_2015,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2015"
360,m6_2013,Housing_Size_2013,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2013"
361,m6_2011,Housing_Size_2011,Average heated area of single family housing units (Square feet),"Sum of heated square footage of all single-family housing units, divided by the number of single-family housing units.","Mecklenburg County Tax Parcels, 2011"
362,m7_2018,Housing_Age_2018,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2018"
363,m7_2017,Housing_Age_2017,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2017"
364,m7_2016,Housing_Age_2016,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2016"
365,m7_2015,Housing_Age_2015,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2015"
366,m7_2013,Housing_Age_2013,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2013"
367,m7_2011,Housing_Age_2011,Average age of single-family housing units (Years),"Age of each single-family housing structure (calculated by subtracting the year structure built from year of data collection) is summed and divided by the total number of single-family housing structures. Single-family includes single-family detached units, duplexes, triplexes, and mobile homes, though each structure is counted only once regardless of the number of units within it.","Mecklenburg County Tax Parcels, 2011"
368,m53_2018,Rental_Houses_2018,Percentage of detached single-family housing units that are rented,Number of single-family (detached) that are rented divided by the total number of single-family (detached) units.,"Mecklenburg County Tax Parcels, 2018"
369,r53_2018,Rental_Houses_Units_2018,Number of detached single-family housing units that are rented,The number of single-family (detached) rental houses. Homes are considered rentals when the mailing address for county property tax documents is different than address of the property.,"Mecklenburg County Tax Parcels, 2018"
370,m53_2017,Rental_Houses_2017,Percentage of detached single-family housing units that are rented,Number of single-family (detached) that are rented divided by the total number of single-family (detached) units.,"Mecklenburg County Tax Parcels, 2017"
371,r53_2017,Rental_Houses_Units_2017,Number of detached single-family housing units that are rented,The number of single-family (detached) rental houses. Homes are considered rentals when the mailing address for county property tax documents is different than address of the property.,"Mecklenburg County Tax Parcels, 2017"
372,m53_2016,Rental_Houses_2016,Percentage of detached single-family housing units that are rented,Number of single-family (detached) that are rented divided by the total number of single-family (detached) units.,"Mecklenburg County Tax Parcels, 2016"
373,r53_2016,Rental_Houses_Units_2016,Number of detached single-family housing units that are rented,The number of single-family (detached) rental houses. Homes are considered rentals when the mailing address for county property tax documents is different than address of the property.,"Mecklenburg County Tax Parcels, 2016"
374,m53_2015,Rental_Houses_2015,Percentage of detached single-family housing units that are rented,Number of single-family (detached) that are rented divided by the total number of single-family (detached) units.,"Mecklenburg County Tax Parcels, 2015"
375,r53_2015,Rental_Houses_Units_2015,Number of detached single-family housing units that are rented,The number of single-family (detached) rental houses. Homes are considered rentals when the mailing address for county property tax documents is different than address of the property.,"Mecklenburg County Tax Parcels, 2015"
376,m53_2013,Rental_Houses_2013,Percentage of detached single-family housing units that are rented,Number of single-family (detached) that are rented divided by the total number of single-family (detached) units.,"Mecklenburg County Tax Parcels, 2013"
377,r53_2013,Rental_Houses_Units_2013,Number of detached single-family housing units that are rented,The number of single-family (detached) rental houses. Homes are considered rentals when the mailing address for county property tax documents is different than address of the property.,"Mecklenburg County Tax Parcels, 2013"
378,m8_2018,New_Residential_2018,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2017-June 30, 2018"
