,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
852,163,2015,"Virgate 1, LLC & Carolina Cottage Homes, LLC",UR-2(CD),UR-2(CD),CD,SPA,NO,5.71,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
853,163,2018,Greg Grueneich & Brian Wallace,B-2,MUDD-O,CD,no,NO,0.24,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Fortune_Solomon,2018/09/20 00:00:00+00,2019/01/22 10:37:37+00,App,,719.0,,86.0,,,,36.8,115.0,,,,,,,556.0,,66.0,11.7,9.0,1486.0,,1.44,1.8
854,163,2014,"StoneHunt Development, LLC",UR-2(CD),UR-2(CD),CD,SPA,NO,5.71,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Sanders_Sonja,2013/12/23 00:00:00+00,2014/04/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
855,163,2015,Laurel Street Residential. LLC,R-6,UR-2(CD),CD,no,NO,1.87,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Fortune_Solomon,2014/11/24 00:00:00+00,2015/03/16 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
856,163,2015,Charlotte Housing Authority,R-8,R-22MF(CD),CD,no,NO,0.424,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2014/12/19 00:00:00+00,2015/03/16 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
857,163,2014,"Midtown Area Partners II, LLC",UR-C(CD),B-2(PED-O),CD,no,NO,1.99,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
858,163,2014,"Midtown Area Partners II, LLC",UR-C(CD),UR-C(PED-O),CD,no,NO,1.99,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
859,163,2014,Central Piedmont Community College,B-2,MUDD(CD),CD,no,NO,4.19,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/04/28 00:00:00+00,2014/09/15 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
860,163,2014,"Midtown Area Partners II, LLC",R-8,R-8MF(PED-O),CD,no,NO,1.99,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
861,163,2014,"Midtown Area Partners II, LLC",B-1,UR-C(PED-O),CD,no,NO,1.99,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
862,163,2015,"Virgate 1, LLC & Carolina Cottage Homes, LLC",UR-2(CD),UR-2(CD),CD,SPA,NO,6.76,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
863,163,2014,"Midtown Area Partners II, LLC",R-8,UR-C(PED-O),CD,no,NO,1.99,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,0.0,503.0,83.3,93.0,13.3,22.0,64.0,,109.0,77.91,86.0,35.0,56.25,,18.085106382978726,338.0,2.0,55.0,,,,35.0,,
864,163,2017,NAI Southern Real Estate,MUDD-O,MUDD-O,CD,SPA,NO,3.4,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/11/21 00:00:00+00,2018/06/18 00:00:00+00,App,,485.0,,86.0,,15.0,,36.2,,78.0,,56.3,75.0,,9.0,277.0,,28.0,11.7,5.0,901.0,,1.44,1.8
865,163,2016,Charlotte-Mecklenburg Planning Department,R-6,R-22MF,NC,no,NO,0.08,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Grant Meacci,Fortune_Solomon,2016/05/20 00:00:00+00,2016/09/19 00:00:00+00,App,0.0,491.0,86.1,93.0,11.1,,66.0,34.5,128.0,71.4,50.0,45.45,42.4,20.0,25.0,724.0,,80.0,11.7,5.0,892.0,,1.44,1.8
866,163,2015,Charlotte Housing Authority,R-8,R-22MF(CD),CD,no,NO,1.035,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Lyte-Graham_Claire,2014/12/19 00:00:00+00,2015/03/16 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
867,163,2015,Charlotte Housing Authority,R-8,R-22MF(CD),CD,no,NO,0.226,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Sanders_Sonja,2014/12/19 00:00:00+00,,Wd,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
868,163,2015,Charlotte Housing Authority,R-8,R-22MF(CD),CD,no,NO,0.562,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Lyte-Graham_Claire,2014/12/19 00:00:00+00,2015/03/16 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
869,163,2015,Royden Goode,UR-C(CD),B-1(CD),CD,no,NO,0.292,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,Fortune_Solomon,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
870,163,2015,Royden Goode,B-1,B-1(CD),CD,no,NO,0.292,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Dixon_Bridget,Fortune_Solomon,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
871,163,2015,Charlotte Housing Authority,R-12MF,R-22MF(CD),CD,SPA,NO,0.305,CMUD,CMUD,YES,Wedge,Central,Main_Kent,Goodwin_Alan,Sanders_Sonja,2014/12/19 00:00:00+00,2015/03/16 00:00:00+00,App,,507.0,,93.0,,21.0,,34.5,,75.27,63.0,45.8333333333333,34.48,,26.2626262626263,168.0,4.0,26.0,11.7,5.0,902.0,45.0,1.44,1.8
872,163,2017,NAI Southern Real Estate,O-2,MUDD-O,CD,no,NO,3.4,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/11/21 00:00:00+00,2018/06/18 00:00:00+00,App,,485.0,,86.0,,15.0,,36.2,,78.0,,56.3,75.0,,9.0,277.0,,28.0,11.7,5.0,901.0,,1.44,1.8
873,164,2018,Ricardo Torres,O-1(CD),O-1(CD),CD,SPA,NO,0.42,CMUD,CMUD,YES,Mixed Use Activity Center,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/02/14 00:00:00+00,2018/06/18 00:00:00+00,App,,1648.0,,99.0,,,,25.4,131.0,,,,,,,538.0,,51.0,1.5,7.0,4532.0,,1.27,1.9
874,164,2017,"SMS Catering Service, Inc.",B-2(CD),NS,CD,no,NO,4.68,CMUD,CMUD,YES,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/03/23 00:00:00+00,2017/09/18 00:00:00+00,App,,1740.0,,99.0,,31.0,,25.4,,82.0,76.0,22.9,14.9,12.0,11.0,224.0,,14.0,1.5,7.0,4782.0,,1.27,1.9
875,164,2017,"SMS Catering Service, Inc.",R-4,NS,CD,no,NO,4.68,CMUD,CMUD,YES,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/03/23 00:00:00+00,2017/09/18 00:00:00+00,App,,1740.0,,99.0,,31.0,,25.4,,82.0,76.0,22.9,14.9,12.0,11.0,224.0,,14.0,1.5,7.0,4782.0,,1.27,1.9
876,164,2017,"SMS Catering Service, Inc.",O-6(CD),NS,CD,no,NO,4.68,CMUD,CMUD,YES,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/03/23 00:00:00+00,2017/09/18 00:00:00+00,App,,1740.0,,99.0,,31.0,,25.4,,82.0,76.0,22.9,14.9,12.0,11.0,224.0,,14.0,1.5,7.0,4782.0,,1.27,1.9
877,170,2019,"Weekley Homes, LLC",R-3,UR-2(CD),CD,no,NO,37.165,CMUD,CMUD,YES,Wedge,,Scott Correll,,,2019/11/25 07:46:38+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
878,170,2014,"Lenox Development Group, LLC",R-3,NS,CD,no,NO,6.09,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2014/07/28 00:00:00+00,2015/01/20 00:00:00+00,App,0.0,215.0,76.2,34.0,4.8,2.0,66.0,,218.0,98.34,100.0,75.5813953488372,77.27272727272727,80.0,4.076086956521739,544.0,4.0,56.0,,,,,,
879,171,2014,"Colony at Piper Glen, LLC",NS,NS,CD,SPA,NO,1.72,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,2014/02/24 00:00:00+00,2014/06/16 00:00:00+00,App,4.8,275.0,57.1,68.0,0.0,4.0,84.0,,207.0,91.18,100.0,65.51724137931035,66.66666666666666,80.0,1.9417475728155338,241.0,2.0,54.0,,,,57.0,,
880,171,2017,Lisa Hoover-Khojasteh,O-1 (CD),NS ,CD,no,NO,1.31,CMUD,CMUD,YES,Wedge,South,Main_Kent,Grant Meacci,John Kinley,2017/02/24 00:00:00+00,,Wd,,379.0,,86.0,,4.0,,33.9,,85.0,,76.2,79.3,,6.0,165.0,,20.0,1.5,4.0,1146.0,,1.12,1.2
881,171,2017,"Colony at Piper Glen, LLC",B-1SCD,NS,CD,no,NO,2.23,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Grant Meacci,John Kinley,2017/04/24 00:00:00+00,2017/09/18 00:00:00+00,App,,379.0,,86.0,,4.0,,33.9,,85.0,,76.2,79.3,,6.0,165.0,,20.0,1.5,4.0,1146.0,,1.12,1.2
882,171,2018,OMS BCP LLC,O-1(CD),O-1(CD),CD,SPA,NO,1.27,CMUD,CMUD,YES,Wedger,South,Kent Main,Grant Meacci,John Kinley,2018/06/28 00:00:00+00,2018/12/17 00:00:00+00,App,,436.0,,86.0,,,,33.5,222.0,,,,,,,403.0,,63.0,1.5,4.0,1146.0,,1.12,1.2
883,171,2017,OMS Piper Station LLC,B-1SCD,MUDD-O,CD,no,NO,1.95,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Grant Meacci,John Kinley,2016/10/20 00:00:00+00,2017/02/20 00:00:00+00,App,,379.0,,86.0,,4.0,,33.9,,85.0,,76.2,79.3,,6.0,165.0,,20.0,1.5,4.0,1146.0,,1.12,1.2
884,172,2017,"Lincoln Harris, LLC",MUDD-O,MUDD-O,CD,SPA,NO,75.0,CMUD,CMUD,YES,Wedge,South,Main_Kent,Grant Meacci,John Kinley,2017/05/22 00:00:00+00,2017/12/18 00:00:00+00,App,,498.0,,6.0,,4.0,,15.1,,93.0,95.0,89.7,86.9,86.5,4.0,294.0,,17.0,4.4,3.0,3067.0,,1.34,1.4
885,172,2015,"Lincoln Harris, LLC",R-3,MUDD-O,CD,no,NO,144.0,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,2014/11/24 00:00:00+00,2015/04/20 00:00:00+00,App,,496.0,,44.0,,5.0,,15.1,,95.85,100.0,86.6279069767442,89.24,75.0,3.38409475465313,153.0,0.0,12.0,4.5,3.0,3062.0,105.0,1.27,1.4
886,172,2018,"Fourstore, LLC",R-3,MUDD-O,CD,no,NO,1.1,CMUD,CMUD,YES,Mixed Use Activity Center,South,Kent Main,Grant Meacci,John Kinley,2018/07/09 00:00:00+00,2018/11/19 11:11:34+00,App,,72.0,,6.0,,,,17.5,178.0,,,,,,,930.0,,61.0,4.5,3.0,3083.0,,1.32,1.4
887,172,2015,"Lincoln Harris, LLC",NS,MUDD-O,CD,no,NO,5.73,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,2014/11/24 00:00:00+00,2015/04/20 00:00:00+00,App,,496.0,,44.0,,5.0,,15.1,,95.85,100.0,86.6279069767442,89.24,75.0,3.38409475465313,153.0,0.0,12.0,4.5,3.0,3062.0,105.0,1.27,1.4
888,172,2015,"Lincoln Harris, LLC",R-3,MX-1(INNOV),CD,no,YES,44.0,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,2014/11/24 00:00:00+00,2015/04/20 00:00:00+00,App,,496.0,,44.0,,5.0,,15.1,,95.85,100.0,86.6279069767442,89.24,75.0,3.38409475465313,153.0,0.0,12.0,4.5,3.0,3062.0,105.0,1.27,1.4
889,172,2017,"Childress Klein Properties, Inc",CC,CC,CD,SPA,NO,27.6,CMUD,CMUD,YES,Mixed Use Activity Center,South,Main_Kent,Grant Meacci,John Kinley,2017/04/24 00:00:00+00,2017/09/18 00:00:00+00,App,,498.0,,6.0,,4.0,,15.1,,93.0,95.0,89.7,86.9,86.5,4.0,294.0,,17.0,4.4,3.0,3067.0,,1.34,1.4
890,173,2016,"FedEx Ground Package System, Inc.",R-17MF,I-2CD,CD,no,NO,16.5,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/02/09 00:00:00+00,2016/06/20 00:00:00+00,App,3.0,0.0,66.7,0.0,21.2,,57.0,18.2,132.0,75.3,100.0,25.0,32.1,37.5,18.0,431.0,,69.0,22.8,3.0,1199.0,,1.05,1.2
891,174,2017,"Eastgroup Properties, L.P.",R-3,I-1(CD),CD,no,NO,24.23,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Lyte-Graham_Claire,2017/07/21 00:00:00+00,2017/11/20 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
892,174,2016,C.O. Ackerman Jr.,O-1(CD),O-1(CD),CD,SPA,NO,3.6189999999999998,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2016/06/27 00:00:00+00,2016/12/19 00:00:00+00,App,0.0,0.0,70.3,0.0,18.9,,75.0,8.1,152.0,43.7,91.0,47.22,31.9,32.0,4.0,671.0,,77.0,48.6,1.0,1723.0,,1.14,1.1
893,174,2017,Charlotte Douglas International Airport,R-3,I-1(CD),CD,no,NO,117.16,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/05/22 00:00:00+00,2018/05/21 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
894,174,2016,"Eastgroup Properties, L.P.",R-3,I-1(CD),CD,no,NO,48.8,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2015/10/22 00:00:00+00,2016/02/15 00:00:00+00,App,0.0,0.0,70.3,0.0,18.9,,75.0,8.1,152.0,43.7,91.0,47.22,31.9,32.0,4.0,671.0,,77.0,48.6,1.0,1723.0,,1.14,1.1
895,174,2018,Steele Creek LLC,I-1(CD),MUDD-O,CD,no,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
896,174,2017,David Byron Young/Dawn Young,R-3,I-2(CD),CD,no,NO,1.0,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
897,174,2017,David Byron Young/Dawn Young,I-2(CD),I-2(CD),CD,SPA,NO,1.18,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
898,174,2018,Steele Creek LLC,R-3,I-1(CD),CD,no,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
899,174,2018,Steele Creek LLC,I-1(CD),I-1(CD),CD,SPA,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
900,174,2019,Charlotte Douglas International Airport,R-3,I-2,NC,no,NO,78.68,CMUD,CMUD,YES,Industrial Activity Center,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/11/25 07:53:58+00,2020/05/18 16:46:28+00,App,,,,,,,,,,,,,,,,,,,,,,,,
901,174,2016,"Charter Properties, Inc.",R-3,R-17MF(CD),CD,no,NO,76.77,CMUD,CMUD,YES,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2016/06/27 00:00:00+00,2017/12/18 00:00:00+00,App,0.0,0.0,70.3,0.0,18.9,,75.0,8.1,152.0,43.7,91.0,47.22,31.9,32.0,4.0,671.0,,77.0,48.6,1.0,1723.0,,1.14,1.1
902,174,2018,Steele Creek LLC,R-3,MUDD-O,CD,no,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
903,174,2017,"Eastgroup Properties, L.P.",I-1(CD),I-1(CD),CD,SPA,NO,24.23,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Lyte-Graham_Claire,2017/07/21 00:00:00+00,2017/11/20 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
904,174,2014,"Eastgroup Properties, LP",R-3,I-2(CD),CD,no,NO,20.32,CMUD,CMUD,NO,Industrial Activity Center,Southwest,,Dixon_Bridget,Sanders_Sonja,2014/03/24 00:00:00+00,2014/11/17 00:00:00+00,App,0.0,0.0,52.9,0.0,8.8,13.0,73.0,,159.0,44.2,79.0,42.62295081967213,37.096774193548384,58.82352941176471,7.665505226480835,342.0,4.0,49.0,,,,1.0,,
905,174,2018,"North State Capital Partners, LLC",R-3,MUDD(CD),CD,no,NO,8.39,CMUD,CMUD,YES,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/12/26 14:59:26+00,2019/05/20 14:27:57+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
906,174,2018,Steele Creek LLC,O-1(CD),I-1(CD),CD,no,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
907,174,2017,"Eastgroup Properties, L.P.",I-2(CD),I-2(CD),CD,SPA,NO,3.96,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/09/22 00:00:00+00,2018/02/19 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
908,174,2017,"Madison Capital Group, LLC",R-3,MUDD-O,CD,no,NO,16.23,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/11/22 00:00:00+00,2018/11/19 10:45:45+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
909,174,2018,Steele Creek LLC,O-1(CD),MUDD-O,CD,no,NO,264.93,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/09/18 00:00:00+00,2019/04/15 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
910,174,2018,"Eastgroup Properties, L.P.",I-1(CD),I-1(CD),CD,SPA,NO,24.23,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/08/22 00:00:00+00,2018/12/17 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
911,174,2014,"Eastgroup Properties, LP",I-2(CD),I-2(CD),CD,SPA,NO,20.32,CMUD,CMUD,NO,Industrial Activity Center,Southwest,,Dixon_Bridget,Sanders_Sonja,2014/03/24 00:00:00+00,2014/11/17 00:00:00+00,App,0.0,0.0,52.9,0.0,8.8,13.0,73.0,,159.0,44.2,79.0,42.62295081967213,37.096774193548384,58.82352941176471,7.665505226480835,342.0,4.0,49.0,,,,1.0,,
912,174,2018,"North State Capital Partners, LLC",R-3,I-1(CD),CD,no,NO,8.39,CMUD,CMUD,YES,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/12/26 14:59:26+00,2019/05/20 14:27:36+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
913,174,2017,Charlotte Douglas International Airport,B-D(CD),I-1(CD),CD,no,NO,117.16,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/05/22 00:00:00+00,2018/05/21 00:00:00+00,App,,17.0,,3.0,,16.0,,8.8,,41.0,97.0,41.9,27.9,26.3,8.0,170.0,,15.0,48.6,1.0,1722.0,,1.14,1.2
914,174,2018,Ryan Companies,I-1,INST,NC,no,NO,11.34,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/08/23 00:00:00+00,2019/01/22 10:30:18+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
915,174,2016,"Eastgroup Properties, L.P.",R-3,I-1(CD),CD,no,NO,48.8,CMUD,CMUD,NO,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2015/10/22 00:00:00+00,2016/02/15 00:00:00+00,App,0.0,0.0,70.3,0.0,18.9,,75.0,8.1,152.0,43.7,91.0,47.22,31.9,32.0,4.0,671.0,,77.0,48.6,1.0,1723.0,,1.14,1.1
916,174,2019,Beacon Development Company,BD(CD),I-1,NC,no,NO,90.47,CMUD,CMUD,YES,Industrial Activity Center,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/07/24 10:49:02+00,2019/10/21 09:03:03+00,App,,,,,,,,,,,,,,,,,,,,,,,,
917,174,2018,City of Charlotte-Engineering & Property Mgmt,B-2(CD),B-2(CD),CD,SPA,NO,24.34,CMUD,CMUD,YES,Industrial Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/01/19 00:00:00+00,2018/06/18 00:00:00+00,App,,17.0,,3.0,,,,9.5,144.0,,,,,,,512.0,,60.0,48.7,1.0,1705.0,,1.14,1.2
918,178,2017,"Laurel Street Residential, LLC",R-4,UR-2(CD),CD,no,NO,14.56,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/03/24 00:00:00+00,2017/07/17 00:00:00+00,App,,0.0,,0.0,,7.0,,19.4,,55.0,,52.2,28.6,,14.0,166.0,,13.0,16.9,1.0,2736.0,,1.22,1.3
